Chemical formula,A,B,Valence A,Valence B,Radius A [ang],Radius B [ang],Crystal Type,Crystal Type,a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Band gap [eV],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Vacancy energy [eV/O atom]
AgAsO3,Ag,As,1,5,1.28,0.46,tetragonal,1,3.571,3.571,4.458,90,90,90,0,-0.815,0.293,-,11.367,0.529
AgBO3,Ag,B,3,3,0.75,0.27,cubic,0,3.439,3.439,3.439,90,90,90,0,-0.35,1.074,-,8.138,-2.641
AgBiO3,Ag,Bi,1,5,1.28,0.76,rhombohedral,2,5.765,5.765,5.765,60.4,60.4,60.4,0,-0.817,0.064,-,13.662,-0.062
AgCrO3,Ag,Cr,1,5,1.28,0.49,orthorhombic,3,5.357,5.401,7.29,90,90,90,0,-1.236,0.15,0.386,10.545,0.037
AgIrO3,Ag,Ir,1,5,1.28,0.57,rhombohedral,2,5.367,5.367,5.367,61.6,61.6,61.6,0,-0.591,0.154,0.007,11.313,1.233
AgMoO3,Ag,Mo,1,5,1.28,0.61,cubic,0,3.911,3.911,3.911,90,90,90,0,-1.548,0.182,0,11.963,4.381
AgNbO3,Ag,Nb,1,5,1.28,0.64,rhombohedral,2,5.611,5.611,5.611,59.2,59.2,59.2,1.269,-2.009,0.043,0,12.263,4.672
AgReO3,Ag,Re,1,5,1.28,0.58,cubic,0,3.889,3.889,3.889,90,90,90,0,-1.22,0.301,0,11.768,4.367
AgRuO3,Ag,Ru,1,5,1.28,0.57,rhombohedral,2,5.375,5.375,5.375,60.7,60.7,60.7,0,-0.754,0.112,0.1,11.148,1.891
AgSbO3,Ag,Sb,1,5,1.28,0.6,orthorhombic,3,5.539,5.591,7.848,90,90,90,0,-1.157,0.109,-,12.152,2.278
AgTaO3,Ag,Ta,1,5,1.28,0.64,rhombohedral,2,5.584,5.584,5.584,59.3,59.3,59.3,2.03,-2.247,0.018,0,12.114,5.586
AgUO3,Ag,U,1,5,1.28,0.76,rhombohedral,2,6.032,6.032,6.032,57.7,57.7,57.7,2.636,-2.513,-0.009,0.2,14.714,3.748
AgVO3,Ag,V,1,5,1.28,0.54,tetragonal,1,3.684,3.684,4.208,90,90,90,0.341,-1.582,0.125,0,11.419,1.832
AgWO3,Ag,W,1,5,1.28,0.62,cubic,0,3.917,3.917,3.917,90,90,90,0,-1.675,0.281,0,12.02,5.198
AlAgO3,Al,Ag,3,3,0.54,0.75,orthorhombic,3,4.913,5.222,8.588,90,90,90,0,-1.543,0.203,-,11.015,-5.981
Al2O3,Al,Al,3,3,0.54,0.54,cubic,0,3.591,3.591,3.591,90,90,90,0,-2.079,1.186,-,9.258,-0.978
AlAsO3,Al,As,3,3,0.54,0.58,cubic,0,3.814,3.814,3.814,90,90,90,0,-0.946,1.409,-,11.095,1.18
AlBO3,Al,B,3,3,0.54,0.27,cubic,0,3.283,3.283,3.283,90,90,90,0,-1.37,1.613,-,7.079,0.694
AlCeO3,Al,Ce,3,3,0.54,1.01,orthorhombic,3,5.557,5.574,8.786,90,90,90,2.937,-3.19,0.289,0,13.608,-7.106
